time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
4.605 0.492374 0.0530162 0.154696 -13.3995 -13.3995 0.00824241 1 0.203876 0.0432682 0.437582 forward
4.705 0.485709 0.0592322 0.137676 -13.5333 -13.5333 0.00807527 1 0.256321 0.043735 0.44346 forward
4.805 0.479479 0.047146 0.138928 -13.5235 -13.5235 0.00808757 1 0.283082 0.0621262 0.453831 forward
4.905 0.464454 0.0387706 0.123971 -13.6411 -13.6411 0.00794069 1 0.332664 0.0633098 0.450973 forward
5.005 0.501579 0.0540131 0.172665 -13.2582 -13.2582 0.00841887 1 0.342782 0.0768848 0.456263 forward
5.105 0.388804 0.103033 0.132542 -13.5737 13.5737 0.00802485 1 0.368521 0.0883151 0.465046 right
5.205 0.429749 0.218483 0.169906 -12.8979 -12.8979 0.00886881 1 0.38029 0.0704875 0.463504 forward
5.305 0.584013 0.168529 0.188079 -13.1369 -13.1369 0.00857023 1 0.394921 0.0739818 0.48487 forward
5.405 0.594499 0.149674 0.15367 -13.4075 -13.4075 0.00823233 1 0.410212 0.083091 0.493985 forward
5.505 0.375502 0.153463 0.216943 -12.91 12.91 0.00885369 1 0.459334 0.0813667 0.483888 right
5.605 0.216097 0.250741 0.333019 -11.9971 11.9971 0.00999357 1 0.504965 0.0701883 0.460581 right
5.705 0.21731 0.256327 0.39519 -11.5082 11.5082 0.0106041 1 0.522523 0.0648234 0.450416 right
5.805 0.302074 0.29257 0.355331 -11.8217 11.8217 0.0102127 1 0.515042 0.0596768 0.433817 right
5.905 0.3698 0.242606 0.342504 -11.9225 11.9225 0.0100867 1 0.509716 0.0689448 0.438733 right
6.005 0.445258 0.199211 0.296587 -12.2836 -12.2836 0.0096358 1 0.50661 0.0699871 0.449893 forward
6.105 0.431092 0.240048 0.287248 -12.3571 12.3571 0.00954409 2 0.512878 0.0613306 0.468255 right
6.205 0.126779 0.271077 0.396489 -11.498 11.498 0.0106169 2 0.511778 0.0635992 0.492394 right
6.305 0.174343 0.204592 0.452544 -11.0572 11.0572 0.0111673 2 0.479705 0.0654284 0.524593 right
6.405 0.252407 0.221875 0.454422 -11.0424 11.0424 0.0111858 2 0.47404 0.0698171 0.527474 right
6.505 0.286719 0.246782 0.444865 -11.1176 11.1176 0.0110919 2 0.483604 0.0558446 0.535314 right
6.605 0.31537 0.291012 0.353541 -11.8358 11.8358 0.0101951 2 0.475118 0.0540077 0.539516 right
6.705 0.309865 0.264847 0.364811 -11.7471 11.7471 0.0103058 2 0.462426 0.0658839 0.548531 right
6.805 0.427552 0.208473 0.316891 -12.124 -12.124 0.0098352 2 0.455185 0.0649926 0.549332 forward
6.905 0.487726 0.16908 0.243231 -12.7032 -12.7032 0.00911184 2 0.453409 0.0661258 0.532086 forward
7.005 0.502309 0.185014 0.197831 -13.0603 -13.0603 0.008666 2 0.434671 0.0693402 0.49889 forward
7.105 0.559299 0.238546 0.225731 -12.7401 -12.7401 0.00906583 2 0.423929 0.0677913 0.481424 forward
7.205 0.587542 0.219774 0.261176 -12.5621 -12.5621 0.00928807 2 0.419794 0.0675236 0.474659 forward
7.305 0.592136 0.164907 0.332418 -12.0019 -12.0019 0.00998767 2 0.417428 0.0676375 0.474999 forward
7.405 0.601252 0.148535 0.383584 -11.5995 -11.5995 0.0104901 2 0.417257 0.0680151 0.47159 forward
7.505 0.601895 0.11616 0.389143 -11.5558 -11.5558 0.0105447 2 0.41733 0.0678659 0.469927 forward
7.605 0.599428 0.0993715 0.417076 -11.3361 -11.3361 0.010819 2 0.416058 0.0677488 0.474645 forward
7.705 0.600931 0.0747655 0.436492 -11.1834 -11.1834 0.0110097 2 0.416126 0.0664144 0.473602 forward
7.805 0.602127 0.0658924 0.445721 -11.1109 -11.1109 0.0111003 2 0.415697 0.0665516 0.473042 forward
7.905 0.602003 0.0495447 0.467337 -10.9409 -10.9409 0.0113126 2 0.415168 0.0666207 0.474258 forward
8.005 0.60233 0.0373164 0.477632 -10.8599 -10.8599 0.0114137 2 0.414635 0.0662344 0.473745 forward
8.105 0.602398 0.0281649 0.484151 -10.8086 -10.8086 0.0114777 2 0.414297 0.0664753 0.47381 forward
8.205 0.603476 0.0212813 0.490583 -10.7581 -10.7581 0.0115409 2 0.413494 0.0664457 0.47369 forward
8.305 0.603625 0.0162407 0.485421 -10.7986 -10.7986 0.0114902 2 0.41325 0.066669 0.472867 forward
8.405 0.603367 0.0326507 0.432549 -11.2144 -11.2144 0.010971 2 0.415416 0.071349 0.472447 forward
8.505 0.596038 0.0467459 0.399276 -11.4761 -11.4761 0.0106442 2 0.413922 0.0693288 0.468869 forward
8.605 0.590774 0.0350964 0.40758 -11.4108 -11.4108 0.0107258 2 0.41243 0.0673081 0.469867 forward
8.705 0.572353 0.0298932 0.432946 -11.2113 -11.2113 0.0109749 2 0.407157 0.0679272 0.465496 forward
8.805 0.569172 0.0224272 0.461725 -10.985 -10.985 0.0112575 2 0.407146 0.0679076 0.465354 forward
8.9 0.563712 0.0168262 0.470364 -10.9171 -10.9171 0.0113423 2 0.406461 0.068384 0.461668 forward
9 0.560612 0.018108 0.480181 -10.8399 -10.8399 0.0114387 2 0.405923 0.0677972 0.459627 forward
9.1 0.557717 0.0137552 0.469183 -10.9263 -10.9263 0.0113307 2 0.405454 0.0685614 0.458939 forward
9.2 0.550458 0.0588922 0.437566 -11.175 -11.175 0.0110202 2 0.404461 0.0680331 0.45567 forward
9.3 0.546609 0.0442353 0.441075 -11.1474 -11.1474 0.0110547 2 0.403088 0.0693487 0.45785 forward
9.4 0.547726 0.0331793 0.463728 -10.9692 -10.9692 0.0112772 2 0.402977 0.071359 0.460616 forward
9.5 0.541996 0.0420669 0.43386 -11.2041 -11.2041 0.0109838 2 0.39717 0.0747546 0.456441 forward
9.6 0.514297 0.0894557 0.343302 -11.9163 -11.9163 0.0100946 2 0.389191 0.0762487 0.446594 forward
9.7 0.475858 0.147048 0.376809 -11.6528 -11.6528 0.0104236 2 0.376505 0.0780549 0.434395 forward
9.8 0.435504 0.191523 0.351619 -11.8509 11.8509 0.0101762 2 0.366141 0.0739473 0.425778 right
9.9 0.459193 0.204093 0.313563 -12.1501 -12.1501 0.00980251 2 0.365569 0.0826591 0.431023 forward
10 0.462773 0.221183 0.289779 -12.3372 -12.3372 0.00956895 2 0.377557 0.0746268 0.433 forward
10.1 0.412831 0.257757 0.247558 -12.589 12.589 0.00925448 2 0.356525 0.0733268 0.434619 right
10.2 0.429033 0.341874 0.280614 -11.9275 -11.9275 0.0100805 2 0.341035 0.0845656 0.441922 forward
10.3 0.423459 0.317361 0.244141 -12.1203 12.1203 0.00983981 2 0.324546 0.0672603 0.44608 right
10.4 0.46189 0.307437 0.258636 -12.1983 -12.1983 0.00974236 2 0.322896 0.0645089 0.43533 forward
10.5 0.456683 0.254843 0.296859 -12.2815 -12.2815 0.00963847 2 0.307348 0.0648697 0.435958 forward
10.6 0.459592 0.254871 0.308062 -12.1934 -12.1934 0.00974849 2 0.300862 0.0595158 0.430804 forward
10.7 0.474876 0.196823 0.258834 -12.5805 -12.5805 0.00926506 2 0.27581 0.0670364 0.417047 forward
10.8 0.448165 0.147735 0.275701 -12.4479 -12.4479 0.0094307 2 0.236502 0.0557944 0.375626 forward
10.9 0.447371 0.150617 0.263903 -12.5407 -12.5407 0.00931484 2 0.192451 0.0511582 0.354208 forward
