time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
0.005 0.125 0 0.0205607 -15.8187 15.8187 0.00517692 0 0 0.0497548 0 right
0.1 0.140362 0.122451 0.179291 -15.7041 15.7041 0.00531892 0 4.45315e-07 0.0465163 4.94132e-07 right
0.2 0.184254 0.212857 0.381813 -15.5577 15.5577 0.0055001 0 1.72254e-06 0.0341111 1.90433e-06 right
0.3 0.264815 0.208959 0.352977 -15.5786 15.5786 0.0054743 0 2.97089e-06 0.0506891 -2.82504e-05 right
0.4 0.348242 0.210487 0.28658 -15.6265 15.6265 0.0054149 0 -0.00015561 0.0428935 1.34729e-05 right
0.5 0.43799 0.183527 0.236988 -15.6624 -15.6624 0.00537054 0 0.000271162 0.0361951 -0.000540448 forward
0.6 0.475002 0.147762 0.207475 -15.6837 -15.6837 0.00534414 0 -0.0154766 0.0460669 0.0196262 forward
0.7 0.47494 0.121606 0.167142 -15.7128 -15.7128 0.00530805 0 -0.048778 0.0342671 0.0599313 forward
0.8 0.46567 0.101372 0.178083 -15.7049 -15.7049 0.00531784 0 -0.0780032 0.0372839 0.101456 forward
0.9 0.459692 0.0781953 0.136018 -15.7353 -15.7353 0.00528021 0 -0.104083 0.0399337 0.146396 forward
1 0.458548 0.0793794 0.116158 -15.7497 -15.7497 0.00526244 0 -0.134649 0.0352663 0.187328 forward
1.105 0.463402 0.070655 0.101363 -15.7604 -15.7604 0.00524921 0 -0.168502 0.0362527 0.227927 forward
1.205 0.463666 0.0825219 0.0960988 -15.7642 -15.7642 0.0052445 0 -0.202524 0.0430227 0.272482 forward
1.305 0.486079 0.123306 0.138077 -15.7338 -15.7338 0.00528205 0 -0.233957 0.0342486 0.301267 forward
1.405 0.52789 0.155243 0.221125 -15.6738 -15.6738 0.00535635 0 -0.248616 0.0422321 0.312654 forward
1.505 0.539642 0.118545 0.172858 -15.7087 -15.7087 0.00531317 0 -0.26903 0.0494086 0.317835 forward
1.605 0.54468 0.112583 0.148266 -15.7265 -15.7265 0.00529117 0 -0.315733 0.0526795 0.335696 forward
1.705 0.565545 0.207531 0.238315 5.864 -15.6614 0.00537172 0 -0.333024 0.0508625 0.339999 left
1.805 0.576602 0.321814 0.210022 5.864 -15.6011 0.00544643 0 -0.347141 0.0553222 0.346752 left
1.905 0.562262 0.354101 0.163206 5.864 -15.5777 0.00547531 0 -0.336439 0.0515718 0.338586 left
2.005 0.54568 0.335964 0.147608 -15.5908 -15.5908 0.00545908 0 -0.334952 0.0492758 0.338056 forward
2.105 0.552446 0.320877 0.27739 -15.6017 -15.6017 0.00544559 0 -0.337241 0.0511882 0.33969 forward
2.205 0.574879 0.266556 0.308766 5.864 -15.6105 0.00543475 0 -0.350282 0.051297 0.34762 left
2.305 0.581334 0.256377 0.241045 5.864 -15.6484 0.00538788 0 -0.352865 0.0508608 0.351895 left
2.405 0.550344 0.282384 0.211571 -15.6296 -15.6296 0.00541115 0 -0.347107 0.0513435 0.356293 forward
2.505 0.569392 0.287541 0.281244 5.864 -15.6258 0.00541576 0 -0.351842 0.0537211 0.363893 left
2.605 0.567312 0.306732 0.288668 5.864 -15.612 0.00543293 0 -0.338687 0.051153 0.3619 left
2.705 0.537892 0.316922 0.243506 -15.6046 -15.6046 0.00544205 0 -0.332807 0.05319 0.360501 forward
2.805 0.562696 0.302898 0.312676 5.864 -15.6077 0.00543825 0 -0.336934 0.0542912 0.361979 left
2.905 0.534098 0.347613 0.277343 -15.5824 -15.5824 0.00546951 0 -0.327977 0.0531479 0.35825 forward
3.005 0.570218 0.378635 0.35623 5.864 -15.56 0.00549726 0 -0.330934 0.053369 0.359307 left
3.105 0.548228 0.361312 0.307847 -15.5725 -15.5725 0.00548176 0 -0.325253 0.0524699 0.35559 forward
3.205 0.577193 0.387016 0.337905 5.864 -15.554 0.00550476 0 -0.327975 0.0527839 0.356676 left
3.305 0.556472 0.374805 0.260573 -15.5628 -15.5628 0.00549383 0 -0.312879 0.0503907 0.354723 forward
3.405 0.552779 0.334404 0.293134 -15.592 -15.592 0.00545769 0 -0.328323 0.0612037 0.361868 forward
