time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z l r w
5.705 0.950019 0.159153 1.20572 19.2157 20 0 2 0.425462 0.0341624 0.46385 0.980391 1 0
5.805 0.964986 0.136893 1.3949 20 20 0 2 0.383084 0.0410332 0.43306 1 1 0
5.905 0.959432 0.129017 1.5708 20 20 0 2 0.33441 0.0451872 0.398458 1 1 0
6.005 0.94871 0.107475 1.71681 18.9511 20 0 2 0.286332 0.0321371 0.373083 0.973776 1 0
6.105 0.959052 0.0902116 1.79276 20 20 0 2 0.242867 0.0428932 0.340021 1 1 0
6.205 0.952753 0.0888914 1.81236 19.5291 20 0 2 0.192648 0.0436884 0.313381 0.988226 1 0
6.305 0.945249 0.0819853 1.89453 18.3396 20 0 2 0.141242 0.0343184 0.278705 0.95849 1 0
6.405 0.946318 0.0772339 1.89609 18.4822 20 0 2 0.0888659 0.0369311 0.248292 0.962054 1 0
6.505 0.960434 0.0685133 1.94469 20 20 0 2 0.0451649 0.0419815 0.212769 1 1 0
6.605 0.956914 0.0949948 1.92338 20 20 0 2 -0.00399379 0.0403964 0.169107 1 1 0
6.705 0.947367 0.0780031 1.9355 18.6714 20 0 2 -0.0573738 0.0431565 0.136845 0.966784 1 0
6.805 0.940242 0.0713811 1.94912 17.5112 20 0 2 -0.110759 0.0414348 0.100671 0.937779 1 0
6.905 0.931475 0.0836454 1.94394 16.1913 20 0 2 -0.16001 0.0401168 0.0714267 0.904782 1 0
7.005 0.928176 0.0792439 1.92837 15.6361 20 0 2 -0.203364 0.0402496 0.0381034 0.890902 1 0
7.105 0.931681 0.0618761 1.93316 16.0929 20 0 2 -0.253541 0.0446939 0.00781401 0.902323 1 0
7.205 0.941038 0.076354 1.97078 17.6762 20 0 2 -0.295356 0.0392632 -0.0231669 0.941906 1 0
7.305 0.950384 0.0614224 1.9661 19.0676 20 0 2 -0.329963 0.0397522 -0.0590127 0.97669 1 0
7.405 0.945228 0.0505486 1.98011 18.1949 20 0 2 -0.373601 0.040197 -0.0999387 0.954874 1 0
7.505 0.944155 0.0530727 1.96661 18.0331 20 0 2 -0.398264 0.0417538 -0.147027 0.950829 1 0
7.605 0.929038 0.0666754 2.00223 15.7347 20 0 2 -0.432114 0.0332334 -0.185756 0.893369 1 0
7.705 0.909021 0.0873875 1.9663 12.6676 20 0 2 -0.463638 0.041205 -0.223715 0.816691 1 0
7.805 0.910481 0.0681824 1.939 12.7749 20 0 2 -0.49337 0.0397705 -0.263911 0.819373 1 0
7.905 0.906101 0.0950507 1.89598 12.2164 20 0 2 -0.523428 0.0388847 -0.301927 0.80541 1 0
8.005 0.889611 0.104184 1.82588 9.62467 20 0 2 -0.545359 0.031623 -0.342966 0.740617 1 0
8.105 0.879295 0.10306 1.76097 7.95389 20 0 2 -0.560909 0.0337916 -0.38106 0.698847 1 0
8.205 0.86272 0.118119 1.67933 5.37759 20 0 2 -0.569641 0.0347161 -0.421426 0.63444 1 0
8.305 0.830817 0.110715 1.59895 0.244487 20 0 2 -0.577165 0.0355157 -0.460449 0.506112 1 0
8.405 0.824918 0.131649 1.41129 -0.657194 20 0 2 -0.57965 0.037074 -0.488488 0.48357 1 0
8.505 0.809667 0.150204 1.29727 -3.019 20 0 3 -0.568551 0.038282 -0.509903 0.424525 1 0
8.605 0.873228 0.189995 1.16734 7.21529 20 0 3 -0.553318 0.0374355 -0.522857 0.680382 1 0
8.705 0.882469 0.184804 1.22835 8.67753 20 0 3 -0.53342 0.0360019 -0.540332 0.716938 1 0
8.805 0.889077 0.208156 1.28967 9.88799 20 0 3 -0.510219 0.0287615 -0.559944 0.7472 1 0
8.9 0.902156 0.207904 1.30611 11.9654 20 0 3 -0.478939 0.0346813 -0.576161 0.799136 1 0
9 0.908578 0.184485 1.38337 12.8836 20 0 3 -0.442792 0.0325903 -0.596635 0.822089 1 0
9.1 0.919614 0.163409 1.48644 14.558 20 0 3 -0.403313 0.0344532 -0.614422 0.86395 1 0
