time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z l r w
0.005 0.125 0 0.0204715 -11.536 11.536 0.0105483 0 0 0.0497548 0 0.0629753 0.982052 0.529003
0.1 0.154829 0.0108422 0.128254 -9.53888 9.53888 0.0130372 0 -6.88607e-18 0.0423031 -8.48951e-18 0.068596 0.985296 0.65382
0.2 0.233719 0.0435639 0.19341 -7.87718 7.87718 0.0151081 0 -3.08681e-17 0.0367222 -1.35253e-17 0.0985491 0.986636 0.757676
0.3 0.282274 0.07342 0.260951 -6.72945 6.72945 0.0165384 0 -6.57565e-17 0.039285 2.81674e-17 0.124399 0.98798 0.829409
0.4 0.322067 0.0663027 0.196211 -7.18231 7.18231 0.015974 0 -1.27124e-16 0.0366155 3.45826e-17 0.144454 0.986355 0.801106
0.5 0.365797 0.0741046 0.164016 -7.22478 7.22478 0.0159211 0 -0.000174546 0.0415068 3.47326e-05 0.174308 0.985313 0.798451
0.6 0.424266 0.0703624 0.151372 -7.05298 7.05298 0.0161352 0 -0.000442229 0.0318477 7.84868e-05 0.209408 0.984876 0.809189
0.7 0.474517 0.0594203 0.135675 -6.99863 6.99863 0.016203 0 -0.000657191 0.0388293 8.36851e-05 0.238816 0.984425 0.812586
0.8 0.516789 0.0841705 0.229324 -5.92776 5.92776 0.0175375 0 -0.000902978 0.0350754 0.000100543 0.277371 0.986743 0.879515
0.9 0.551212 0.0757285 0.203425 -6.00972 6.00972 0.0174354 0 -0.000870633 0.0402079 0.000368139 0.302468 0.986075 0.874392
1 0.594055 0.0818802 0.203718 -5.82786 5.82786 0.017662 0 -0.00046601 0.0330003 0.00159196 0.34474 0.985952 0.885759
1.105 0.649254 0.0877643 0.169682 -3.74679 5.83317 0.0176554 0 -0.00095434 0.0414485 0.00309987 0.40633 0.984823 0.885427
1.205 0.691091 0.0723075 0.186149 -2.78494 5.64347 0.0178918 0 0.00231439 0.0373001 0.00713293 0.430377 0.985383 0.897283
1.305 0.723302 0.0728602 0.195075 -1.55251 5.49246 0.01808 0 0.00314466 0.0391569 0.0151421 0.461187 0.985574 0.906721
1.405 0.743415 0.0651419 0.206044 -1.10919 5.39978 0.0181955 0 0.0083832 0.0392179 0.0196108 0.47227 0.98592 0.912514
1.505 0.76178 0.059897 0.21449 -0.62661 5.32251 0.0182918 0 0.0124222 0.0419571 0.0262461 0.484335 0.986169 0.917343
1.605 0.778345 0.0561934 0.227969 -0.189298 5.22673 0.0184112 0 0.0178026 0.0427177 0.0340081 0.495268 0.986535 0.923329
1.705 0.794632 0.0435755 0.254233 -0.174477 5.1052 0.0185626 0 0.0241032 0.0423058 0.0429669 0.495638 0.987295 0.930925
1.805 0.812835 0.0371099 0.264333 0.246775 5.03956 0.0186444 0 0.0235789 0.0442727 0.0527712 0.506169 0.987571 0.935027
1.905 0.834478 0.0379881 0.289269 0.984273 4.90409 0.0188133 0 0.0317549 0.04156 0.0633197 0.524607 0.988125 0.943495
2.005 0.849346 0.0410702 0.309961 1.5589 4.8056 0.018936 0 0.0311498 0.0437077 0.0744384 0.538973 0.988552 0.94965
2.105 0.866686 0.0409454 0.331742 2.10361 4.71554 0.0190483 0 0.0321914 0.0424238 0.0885088 0.55259 0.989009 0.955279
2.205 0.878532 0.033076 0.369579 2.04615 4.61401 0.0191748 0 0.0321633 0.0408354 0.1024 0.551154 0.989836 0.961624
2.305 0.89044 0.0305016 0.386108 2.31777 4.56505 0.0192358 0 0.0269692 0.0453402 0.115527 0.557944 0.990163 0.964684
2.405 0.899116 0.0240859 0.398917 2.34406 4.53537 0.0192728 0 0.0233596 0.0452581 0.13119 0.558601 0.99044 0.966539
2.505 0.903739 0.0272431 0.416006 2.5355 4.49292 0.0193257 0 0.018505 0.0448097 0.145042 0.563387 0.99073 0.969193
2.605 0.90714 0.025389 0.415079 2.60666 4.49312 0.0193255 0 0.010163 0.0455368 0.158489 0.565166 0.990721 0.96918
2.705 0.914363 0.0231316 0.426726 2.73501 4.46647 0.0193587 0 0.0053381 0.0413858 0.172325 0.568375 0.990937 0.970845
2.805 0.918666 0.0182533 0.431692 2.69462 4.4582 0.019369 0 -0.000837349 0.0455571 0.185469 0.567365 0.99105 0.971362
2.905 0.923877 0.0161435 0.442784 2.75305 4.43604 0.0193966 0 -0.00949496 0.0476298 0.20013 0.568826 0.99125 0.972748
3.005 0.927606 0.0121339 0.450177 2.70703 4.42398 0.0194116 0 -0.0164036 0.0439755 0.215246 0.567676 0.991396 0.973501
3.105 0.931241 0.0118842 0.452011 2.82861 4.41797 0.0194191 0 -0.0278679 0.044549 0.225142 0.570715 0.991425 0.973877
3.205 0.936904 0.0102088 0.454363 2.974 4.41071 0.0194282 0 -0.0374312 0.0452402 0.238005 0.57435 0.991468 0.974331
3.305 0.938949 0.00990698 0.460555 3.0047 4.39944 0.0194422 0 -0.0442498 0.043659 0.25387 0.575118 0.991571 0.975035
3.405 0.941111 0.00944991 0.466252 3.03731 4.38926 0.0194549 0 -0.0566189 0.047834 0.264356 0.575933 0.991666 0.975671
3.505 0.944744 0.00813964 0.469101 3.11358 4.38309 0.0194626 0 -0.0692613 0.0457995 0.276277 0.577839 0.991716 0.976057
3.605 0.949031 0.00715501 0.489916 3.11706 4.35071 0.0195029 0 -0.0793163 0.042272 0.28868 0.577927 0.99205 0.978081
3.705 0.952124 0.00811937 0.482599 3.31673 4.35778 0.0194941 0 -0.0913584 0.0478334 0.299409 0.582918 0.991926 0.977639
3.805 0.953628 0.00766225 0.487437 3.32893 4.3503 0.0195034 0 -0.104188 0.0476075 0.312443 0.583223 0.992004 0.978106
