% # columns="iteration, evaluation, void, void, void, xmean", seed=79710, Mon Jan 15 12:14:22 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
11 121 0 0 0 5.17374565855 1.86162761506 5.2456738692 -0.343533064677 6.23154809926 -0.105535083383 8.92684362693 12.1465361429 4.62171140945 -6.88168786388 8.04438080718 4.2075919962 6.85313976523 8.31324668132
12 132 0 0 0 5.27136177525 2.02827880313 5.79581987736 -0.907649276496 7.10825111365 0.296161131218 10.250436141 11.723221979 6.23749492877 -7.94255114399 7.49356132494 3.56260079033 6.86698327947 8.98952388008
13 143 0 0 0 3.90068837984 2.86380556102 5.56985167491 -2.03292594545 6.4824502938 0.73293328931 10.6137986869 11.5228404843 5.55331795556 -8.38819878768 7.73455020823 2.66350908931 8.0246938885 9.46373130689
14 154 0 0 0 3.16409932225 1.90712812923 6.43158846533 -0.0790850855498 7.95813646814 -0.439976833977 11.4544536266 13.5682597632 6.8759541326 -7.84202129966 8.81691340536 2.14038483663 8.93530943584 8.89911710195
15 165 0 0 0 3.06937106488 0.2404750072 8.45528572825 2.0625333597 8.72289353398 -1.49395751454 12.0261371528 12.8214757693 7.05211956252 -6.56277687176 9.200989183 4.70351773742 7.08117573044 7.16592983421
16 176 0 0 0 3.43843153801 -0.909705485278 8.23014616422 1.87491780868 7.32364494151 -0.399285300652 12.2272879257 13.7566181995 7.93524196444 -8.11664147305 9.1240435045 5.28716748819 6.96829799603 8.88753969958
17 187 0 0 0 5.08935904294 0.110414869564 8.95170734571 3.07063065182 5.77786984209 -0.682118949751 13.8659306398 13.4331767915 10.4110538011 -6.60297426177 8.98878893267 5.20941764793 7.66662755492 9.23547013598
18 198 0 0 0 3.99090115975 0.15227300337 7.84195449527 3.41964380206 4.24482820075 -0.735153583523 14.2198545983 14.4170568162 11.3364713302 -6.67983621336 10.6232696392 5.51055229479 6.5128849235 9.06475306967
19 209 0 0 0 4.48902664727 1.352590892 7.57100096748 3.37320975109 3.33900114029 -0.612463992222 12.4790336871 13.604025655 10.8919554924 -6.55144688485 9.93513823207 5.49553418412 6.28084424642 8.89397504153
20 220 0 0 0 5.18259200369 1.11944743767 8.52708449933 1.93924662256 4.94690485999 0.277620840838 12.4850719833 13.2942574817 10.8860871313 -6.74749952635 9.28750340187 4.76616724038 5.96884506003 8.96313334717
21 231 0 0 0 3.80787081551 1.04145286841 6.57282710261 0.979216097054 4.29986181397 0.73657616515 12.4309258575 13.3748049742 11.7447833882 -6.57243326713 9.34785888122 6.44614071847 6.86556174406 9.30791048577
22 242 0 0 0 4.12866027069 1.0458455308 8.16972302283 0.0519130513308 4.8328571111 0.750709134565 10.8441612408 12.6172903602 12.2857302639 -7.28824301366 9.07781407447 5.76832022663 6.78955787156 7.46680412439
23 253 0 0 0 5.08377155087 2.1980329574 7.65994123953 1.30996152131 3.80758668695 1.71330285143 11.2218971511 12.9015305261 11.2985584395 -7.19373489491 8.67694137157 5.29209173263 7.59026548383 7.90214901761
24 264 0 0 0 4.60198226608 1.11422990559 9.13496144975 0.332526524424 4.3106068496 2.08102506641 11.5181783894 11.9979366123 11.1970998834 -6.1093846239 8.503139963 4.19997886493 7.69238939183 7.65181425251
25 275 0 0 0 4.78564094899 0.992244623197 10.6760077462 0.100793913618 3.11205724156 2.44489744656 11.8634666128 12.7496793061 10.6844852585 -5.75089697093 8.58255317802 3.30685494493 7.46292053844 8.55836681084
26 286 0 0 0 4.23850960979 0.751600717865 10.2916286954 -0.764995305423 1.46239368334 2.79419340978 11.4765315364 12.9687408315 9.85473221157 -6.17764006187 9.18163334502 2.66217329156 8.29835831928 9.76245960579
27 297 0 0 0 4.85063748035 0.766272361196 10.2361802861 -0.81935161274 2.23602843702 3.79981115787 12.4154388797 13.8111894739 9.82731746029 -6.48584589129 8.40682653678 2.39944753856 8.66735656126 8.87659884574
28 308 0 0 0 5.34626265075 1.02542470374 10.3069935321 0.0350284708192 2.04885566974 3.19756620644 11.8946431456 14.5851252817 11.0858104967 -6.13051725562 8.83697603157 2.69167765598 8.34024814393 8.79961442343
29 319 0 0 0 5.09816247025 2.50952371826 10.1694178346 -0.123710444597 1.10206097112 2.10342628969 11.8303408918 14.9160681714 9.80939006307 -7.26483547056 9.63707312459 3.2628190888 6.96849004112 9.97871082313
30 330 0 0 0 5.09638974406 1.21260608114 10.7727384529 -0.597795478582 0.892622035624 2.62720967575 12.2478639468 14.8766779866 10.4653902937 -8.03695293173 9.29063868297 2.93508728081 7.36959975656 9.66543708804
31 341 0 0 0 5.4403532806 0.337978100992 10.2430334623 0.214583176588 1.32495031019 2.57666449529 13.2790271836 14.7151765491 11.2732626666 -6.52236182227 10.5863478002 3.11385916379 7.58313524657 9.5279973782
32 352 0 0 0 4.88462255606 0.158175005515 10.7755459844 0.338192717928 0.861149572668 2.32070798004 13.4087131854 15.1942243382 11.5346051352 -6.56660022069 9.86217978268 3.2243580289 8.36308095473 8.52812603119
33 363 0 0 0 4.794028509 0.725298246086 10.3063790016 -0.418927494406 0.979174848366 1.34768142141 12.9645045476 15.2310147004 11.5191372496 -7.66419508127 9.71877879308 1.84569553847 8.7100240804 9.24107243055
34 374 0 0 0 4.85910093376 1.46878834729 9.34556709516 -0.398248784442 0.858762628913 1.40083787572 12.9996303778 15.0407562953 11.6841770149 -7.50387634021 9.46985879143 1.3535308193 8.15395750833 9.70116491067
35 385 0 0 0 4.81638756165 1.10456459268 9.50846860721 -0.663017071902 1.0953019431 1.63043746292 14.0393817201 15.4151777339 11.2927401681 -6.94335724033 9.42352178861 1.05361144237 8.92202724991 9.10617835578
36 396 0 0 0 5.01504350394 0.301070029278 10.0325024219 -0.83198688586 1.46732650535 1.77206079041 14.040966012 15.5013035217 10.8211501276 -6.77415996674 9.40881036967 1.3824246953 9.08730230316 8.88858412571
37 407 0 0 0 5.10801866255 -0.586887985412 10.0776103398 -1.15082203833 1.5211876317 2.18662026143 14.2458646609 15.7230862972 10.7764462113 -6.92697062679 9.53202887575 1.2852756408 9.39857668547 8.70467577323
38 418 0 0 0 5.22076707842 -0.783425643117 11.1876174014 -1.19608509274 1.61150566607 2.06467932194 13.9834953141 15.2014337507 11.0361051372 -6.78258765866 8.69101667727 0.817410901522 9.37279975211 8.69858649969
39 429 0 0 0 5.38689280939 -0.232583418642 11.1528715647 -1.24603081047 1.77181817394 1.7934825945 14.3067017062 15.1642559189 11.1094114682 -6.75518245291 8.66278143627 0.434221209604 9.67939369185 8.57562977382
40 440 0 0 0 5.70413016413 -0.247026036809 11.2563581533 -1.53921357722 1.18773128801 2.15046486837 14.033115051 15.3018988778 10.5582033372 -7.07276900094 8.62623530638 0.278718640115 9.44998665635 9.11657765569
41 451 0 0 0 5.86183603934 -0.542800792802 11.3510573611 -1.47138987849 1.14577552286 2.28047468003 14.075491282 15.187017179 10.4986936609 -6.79217617159 8.1924158374 -0.234907302365 9.62600192345 8.89332812943
42 462 0 0 0 6.22209485328 -1.02372039069 11.3600007324 -0.863570869249 1.50025864679 2.80336691227 14.1341039897 15.1531619309 10.0788805784 -6.45656956297 8.51970219201 0.14413866209 8.77111334258 9.62005325797
43 473 0 0 0 5.92750365987 -0.625563935733 11.3354011521 -1.10688126303 1.48661237772 2.31636097353 14.1458274538 15.1558023005 10.2846596671 -6.3119817741 8.71218572099 -0.0787286381461 8.78204302588 10.4108536764
44 484 0 0 0 5.79118222564 -0.344669764754 10.8965627088 -1.37532295982 1.19461405009 2.21897732667 14.0642728314 14.4961920603 10.1253158263 -6.93927469369 8.90295670469 -0.859362112506 8.64667348493 10.3649522289
45 495 0 0 0 5.66974690568 0.148109218683 10.35504866 -1.67699847183 1.23902817968 1.77499009176 13.917037774 14.2440686201 9.5695201988 -7.52989359839 9.65845388169 -0.922503801219 8.63566254831 10.5139520949
46 506 0 0 0 5.26507563572 0.644032043766 10.758390639 -1.47469736695 1.6131548289 1.08156608972 14.7173203534 13.9619597501 10.3882479959 -7.22889039664 10.0283454792 -1.1998868563 8.81565534875 10.9845001003
47 517 0 0 0 5.21124923668 0.909002891375 10.7584930709 -0.636866555349 1.13765311814 1.04740011271 14.8423831629 13.5711565493 10.3861562268 -7.44904711685 10.0711937984 -0.903889910023 8.58758098419 11.464847876
