angle,angular error,linear error,left speed,right speed,extension
0,0,0,0,0,1.304
0,0,0.1,0,0,1.2015
0,0,0.2,0,0,1.099
0,0,0.3,0,0,0.9965
0,0,0.4,0,0,0.894
0,0,0.5,0,0,0.7915
0,0,0.6,0,0,0.689
0,0,0.7,0,0,0.5865
0,0,0.8,0,0,0.484
0,0,0.9,0,0,0.3815
0,0,1,0,0,0.279
0,0.1,0,0,0,1.4041
0,0.1,0.1,0,0,1.3016
0,0.1,0.2,0,0,1.1991
0,0.1,0.3,0,0,1.0966
0,0.1,0.4,0,0,0.9941
0,0.1,0.5,0,0,0.8916
0,0.1,0.6,0,0,0.7891
0,0.1,0.7,0,0,0.6866
0,0.1,0.8,0,0,0.5841
0,0.1,0.9,0,0,0.4816
0,0.1,1,0,0,0.3791
0,0.2,0,0,0,1.5042
0,0.2,0.1,0,0,1.4017
0,0.2,0.2,0,0,1.2992
0,0.2,0.3,0,0,1.1967
0,0.2,0.4,0,0,1.0942
0,0.2,0.5,0,0,0.9917
0,0.2,0.6,0,0,0.8892
0,0.2,0.7,0,0,0.7867
0,0.2,0.8,0,0,0.6842
0,0.2,0.9,0,0,0.5817
0,0.2,1,0,0,0.4792
0,0.3,0,0,0,1.6043
0,0.3,0.1,0,0,1.5018
0,0.3,0.2,0,0,1.3993
0,0.3,0.3,0,0,1.2968
0,0.3,0.4,0,0,1.1943
0,0.3,0.5,0,0,1.0918
0,0.3,0.6,0,0,0.9893
0,0.3,0.7,0,0,0.8868
0,0.3,0.8,0,0,0.7843
0,0.3,0.9,0,0,0.6818
0,0.3,1,0,0,0.5793
0,0.4,0,0,0,1.7044
0,0.4,0.1,0,0,1.6019
0,0.4,0.2,0,0,1.4994
0,0.4,0.3,0,0,1.3969
0,0.4,0.4,0,0,1.2944
0,0.4,0.5,0,0,1.1919
0,0.4,0.6,0,0,1.0894
0,0.4,0.7,0,0,0.9869
0,0.4,0.8,0,0,0.8844
0,0.4,0.9,0,0,0.7819
0,0.4,1,0,0,0.6794
0,0.5,0,0,0,1.8045
0,0.5,0.1,0,0,1.702
0,0.5,0.2,0,0,1.5995
0,0.5,0.3,0,0,1.497
0,0.5,0.4,0,0,1.3945
0,0.5,0.5,0,0,1.292
0,0.5,0.6,0,0,1.1895
0,0.5,0.7,0,0,1.087
0,0.5,0.8,0,0,0.9845
0,0.5,0.9,0,0,0.882
0,0.5,1,0,0,0.7795
0,0.6,0,0,0,1.9046
0,0.6,0.1,0,0,1.8021
0,0.6,0.2,0,0,1.6996
0,0.6,0.3,0,0,1.5971
0,0.6,0.4,0,0,1.4946
0,0.6,0.5,0,0,1.3921
0,0.6,0.6,0,0,1.2896
0,0.6,0.7,0,0,1.1871
0,0.6,0.8,0,0,1.0846
0,0.6,0.9,0,0,0.9821
0,0.6,1,0,0,0.8796
0,0.7,0,0,0,2.0047
0,0.7,0.1,0,0,1.9022
0,0.7,0.2,0,0,1.7997
0,0.7,0.3,0,0,1.6972
0,0.7,0.4,0,0,1.5947
