Angle,Linear Error,Angular Error,Left Speed,Right Speed,Weg Extension
0,1,0.3,0.486099,0.160771,0.843445
0,1,0.4,0.470245,0.193801,0.881904
0,1,0.5,0.454452,0.231742,0.911903
0,1,0.6,0.438749,0.274582,0.934844
0,1,0.7,0.423168,0.322021,0.952124
0,1,0.8,0.407739,0.373437,0.964994
0,1,0.9,0.392489,0.427881,0.974496
0,1,1,0.377447,0.48413,0.981469
0.1,0,0,0.160636,0.173076,0.504692
0.1,0,0.1,0.152253,0.208007,0.58547
0.1,0,0.2,0.144232,0.247875,0.661899
0.1,0,0.3,0.136565,0.292561,0.730718
0.1,0,0.4,0.129244,0.341643,0.789974
0.1,0,0.5,0.12226,0.39437,0.839063
0.1,0,0.6,0.115603,0.449676,0.878443
0.1,0,0.7,0.109264,0.506255,0.90923
0.1,0,0.8,0.103232,0.562674,0.932816
0.1,0,0.9,0.0974962,0.617516,0.950606
0.1,0,1,0.0920464,0.669521,0.963868
0.1,0.1,0,0.190448,0.162461,0.521357
0.1,0.1,0.1,0.180844,0.195757,0.601563
0.1,0.1,0.2,0.171621,0.23397,0.676663
0.1,0.1,0.3,0.162776,0.277072,0.743641
0.1,0.1,0.4,0.154301,0.324749,0.800828
0.1,0.1,0.5,0.14619,0.376359,0.847868
0.1,0.1,0.6,0.138436,0.430937,0.885389
0.1,0.1,0.7,0.13103,0.487245,0.914587
0.1,0.1,0.8,0.123964,0.543879,0.936878
0.1,0.1,0.9,0.117227,0.599401,0.953646
0.1,0.1,1,0.110809,0.652483,0.966121
0.1,0.2,0,0.224314,0.152377,0.537974
0.1,0.2,0.1,0.213452,0.18406,0.617438
0.1,0.2,0.2,0.202979,0.220616,0.691084
0.1,0.2,0.3,0.192893,0.2621,0.756151
0.1,0.2,0.4,0.183193,0.3083,0.811256
0.1,0.2,0.5,0.173876,0.358684,0.856275
0.1,0.2,0.6,0.164937,0.412393,0.891986
0.1,0.2,0.7,0.156371,0.468273,0.919657
0.1,0.2,0.8,0.148171,0.524959,0.94071
0.1,0.2,0.9,0.140329,0.58101,0.956507
0.1,0.2,1,0.132837,0.635045,0.968237
0.1,0.3,0,0.262251,0.142812,0.554508
0.1,0.3,0.1,0.250145,0.172912,0.633068
0.1,0.3,0.2,0.238417,0.207818,0.705141
0.1,0.3,0.3,0.227072,0.24766,0.76824
0.1,0.3,0.4,0.216114,0.292323,0.821259
0.1,0.3,0.5,0.205544,0.341385,0.864291
0.1,0.3,0.6,0.195362,0.394095,0.898247
0.1,0.3,0.7,0.185566,0.449391,0.92445
0.1,0.3,0.8,0.176155,0.505967,0.944323
0.1,0.3,0.9,0.167122,0.562391,0.959199
0.1,0.3,1,0.158464,0.617245,0.970226
0.1,0.4,0,0.304089,0.133752,0.570921
0.1,0.4,0.1,0.290813,0.162305,0.648422
0.1,0.4,0.2,0.277884,0.195576,0.718819
0.1,0.4,0.3,0.265316,0.233764,0.779905
0.1,0.4,0.4,0.253116,0.276842,0.830842
0.1,0.4,0.5,0.241294,0.324497,0.871928
0.1,0.4,0.6,0.229853,0.376089,0.904185
0.1,0.4,0.7,0.218799,0.430655,0.928979
